51213;00:02;2,4,6,9,13,18,19,20,21,24,32,34,40,48,51,55,61,62,63,80
51214;00:07;1,7,11,14,18,26,29,32,36,42,45,46,49,54,55,62,64,68,76,77
51215;00:12;1,5,9,10,12,14,23,24,26,28,31,45,48,49,53,59,60,64,67,80
51216;00:17;7,8,12,13,20,29,30,32,37,45,46,47,51,55,57,59,64,67,68,79
51217;00:22;1,2,4,12,21,22,23,25,28,32,35,40,46,49,53,54,57,65,67,68
51218;00:27;12,14,17,23,27,29,34,39,41,44,48,52,55,56,58,59,65,70,73,75
51219;00:32;2,10,17,29,32,37,38,39,41,47,48,49,50,55,57,58,63,65,67,70
51220;00:37;4,5,8,10,11,19,21,24,25,29,33,38,43,47,49,51,58,60,64,74
51221;00:42;3,8,12,13,16,19,22,23,29,45,48,51,54,55,60,61,65,66,70,80
51222;00:47;1,4,6,8,9,16,24,27,28,33,34,37,42,52,58,59,64,66,71,73
51223;00:52;3,8,17,18,24,26,34,56,57,58,59,60,63,66,69,71,72,75,77,80
51224;00:57;7,8,11,20,21,24,25,30,34,47,50,51,62,66,69,71,75,76,78,80
51225;01:02;1,6,17,23,25,27,35,37,41,42,47,51,55,58,61,64,70,71,75,78
51226;07:02;3,4,10,12,13,15,25,29,30,42,43,45,50,54,60,64,65,69,71,73
51227;07:07;2,7,12,14,16,19,23,25,36,39,46,51,54,55,56,58,59,65,74,79
51228;07:12;13,15,17,21,23,25,27,34,42,43,49,51,54,55,57,64,65,75,76,79
51229;07:17;1,3,6,11,13,18,21,25,26,27,29,31,32,44,61,65,66,69,71,74
51230;07:22;1,14,16,19,25,29,31,34,38,41,42,44,50,55,62,63,65,74,75,76
51231;07:27;7,8,18,20,21,29,31,32,35,37,41,44,45,47,48,53,64,75,76,80
51232;07:32;1,4,11,12,15,18,19,24,31,40,41,52,53,54,55,61,62,64,68,75
51233;07:37;1,3,4,9,11,18,21,26,28,30,33,34,35,47,52,64,68,69,73,80
51234;07:42;1,4,7,9,13,15,16,20,24,26,34,44,57,59,60,64,69,70,74,78
51235;07:47;10,12,13,16,17,18,21,22,24,28,30,32,46,50,52,59,64,70,72,74
51236;07:52;2,9,15,17,19,20,23,29,38,40,41,44,46,47,50,54,57,59,60,72
51237;07:57;1,2,6,9,12,16,24,28,32,38,39,50,51,52,55,59,63,65,69,74
51238;08:02;1,9,11,14,21,23,24,32,38,48,49,50,52,55,60,65,69,72,78,80
51239;08:07;4,5,9,17,25,35,38,39,40,41,45,53,55,57,60,66,67,71,75,79
51240;08:12;3,4,9,26,27,31,38,39,44,45,47,51,56,63,66,68,69,71,73,77
51241;08:17;2,6,9,17,22,25,28,33,34,36,38,40,41,47,52,54,55,66,67,72
51242;08:22;1,2,7,8,10,19,21,28,34,36,47,51,53,63,64,69,71,74,76,79
51243;08:27;6,10,21,22,23,28,29,32,35,36,41,43,51,60,62,65,72,75,77,80
51244;08:32;2,3,4,7,11,13,18,19,23,25,30,52,55,56,61,69,70,72,78,80
51245;08:37;2,7,14,18,20,25,27,28,31,37,39,40,53,55,58,62,69,74,76,80
51246;08:42;7,10,11,18,25,29,32,40,43,48,53,55,60,61,62,70,72,74,78,79
51247;08:47;2,3,7,13,18,21,27,28,30,32,47,48,51,52,55,56,57,63,71,78
51248;08:52;5,8,16,17,25,27,28,37,38,42,45,48,54,59,62,64,67,68,69,71
51249;08:57;15,17,25,28,29,33,34,44,45,47,56,57,60,66,71,72,74,76,77,79
51250;09:02;3,4,8,9,13,18,19,20,26,28,34,36,42,45,49,57,67,69,70,78
51251;09:07;5,6,9,10,15,20,23,24,26,28,37,44,46,48,55,56,64,67,74,80
51252;09:12;3,4,8,14,17,19,24,34,40,41,42,50,54,55,56,59,68,69,76,78
51253;09:17;1,4,7,8,11,13,27,38,41,42,43,45,49,51,52,63,72,73,74,78
51254;09:22;1,8,9,10,13,14,20,26,31,32,33,39,47,50,51,55,58,60,70,73
51255;09:27;12,16,24,28,29,32,35,38,40,48,52,55,57,58,67,73,75,76,78,79
51256;09:32;5,15,20,27,28,36,38,41,45,47,48,49,51,64,66,69,72,73,74,80
51257;09:37;6,13,19,23,26,27,31,38,42,44,45,47,53,57,64,70,71,74,77,79
51258;09:42;10,11,12,14,15,17,23,25,28,31,33,36,37,45,49,59,62,64,69,78
51259;09:47;1,4,6,7,10,12,14,20,28,31,33,43,48,54,57,64,71,76,77,80
51260;09:52;6,7,8,10,14,20,29,32,33,43,45,46,49,57,60,63,76,77,79,80
51261;09:57;10,17,19,25,27,28,33,37,41,42,47,48,55,62,66,69,70,74,75,78
51262;10:02;2,7,8,10,12,13,14,15,18,20,29,34,48,60,64,70,71,72,77,78
51263;10:07;1,7,11,12,14,15,20,28,35,41,48,50,60,61,63,70,72,75,76,79
51264;10:12;2,3,16,21,24,36,38,41,46,47,48,53,55,58,61,63,64,69,72,74
51265;10:17;3,4,5,10,17,18,21,23,32,36,39,48,49,55,63,68,72,75,77,79
51266;10:22;1,7,8,13,22,24,28,32,40,42,46,49,53,56,60,64,73,76,78,80
51267;10:27;2,15,16,19,28,30,35,36,39,41,43,48,51,52,60,61,62,77,78,80
51268;10:32;1,10,11,18,19,21,25,32,38,52,53,56,57,58,62,70,71,73,75,77
51269;10:37;14,21,24,28,30,36,40,42,43,44,45,48,52,55,56,57,62,67,69,72
51270;10:42;7,9,11,12,17,20,23,28,29,30,33,36,38,44,47,61,71,72,76,79
51271;10:47;1,5,8,9,12,16,21,27,37,39,44,45,47,48,53,61,76,77,78,80
51272;10:52;4,7,8,13,16,25,31,41,42,45,47,50,59,64,65,72,73,74,78,80
